timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2021-07-05 23:32:50.634584	none	random_0	baseline	avm	65	0.012307692307692308	0.006895540579927752	0.005329012174148455	
2021-07-05 23:32:50.634743	none	random_0	baseline	avm	70	0.011428571428571429	0.006895540579927752	0.005148298865741215	
2021-07-05 23:32:50.634881	none	random_0	baseline	avm	75	0.013333333333333332	0.007885639589828741	0.005053438757708267	
2021-07-05 23:32:50.635015	none	random_0	baseline	avm	80	0.0125	0.007885639589828741	0.004943043536376151	
2021-07-05 23:32:50.635147	none	random_0	baseline	avm	85	0.011764705882352941	0.007885639589828741	0.004824151574962883	
2021-07-05 23:32:50.635288	none	random_0	baseline	avm	90	0.01111111111111111	0.007885639589828741	0.004701382812815727	
2021-07-05 23:32:50.635439	none	random_0	baseline	avm	95	0.010526315789473684	0.007885639589828741	0.004577777531650851	
2021-07-05 23:32:50.635592	none	random_0	baseline	avm	100	0.01	0.007885639589828741	0.004455328576361113	
2021-07-05 23:32:53.708768	none	random_0	baseline	lms	5	0.12000000000000002	0.0036751132740392685	0.06339850002884626	
2021-07-05 23:32:53.709062	none	random_0	baseline	lms	10	0.06000000000000001	0.0036751132740392685	0.05732100092732628	
2021-07-05 23:32:53.709613	none	random_0	baseline	lms	15	0.05333333333333333	0.004665212283940258	0.046754584255851904	
2021-07-05 23:32:53.709998	none	random_0	baseline	lms	20	0.05	0.005655311293841249	0.0419527057690649	
2021-07-05 23:32:53.710254	none	random_0	baseline	lms	25	0.04	0.005655311293841249	0.03723510732307911	
2021-07-05 23:32:53.710531	none	random_0	baseline	lms	30	0.039999999999999994	0.006645410303742239	0.03321553152389165	
2021-07-05 23:32:53.710799	none	random_0	baseline	lms	35	0.03428571428571429	0.006645410303742239	0.030328764791536927	
2021-07-05 23:32:53.711118	none	random_0	baseline	lms	40	0.03	0.006645410303742239	0.027802351842342865	
2021-07-05 23:32:53.711391	none	random_0	baseline	lms	45	0.026666666666666665	0.006645410303742239	0.025612531521903383	
2021-07-05 23:32:53.711649	none	random_0	baseline	lms	50	0.036	0.010730871481438956	0.024123116837726975	
2021-07-05 23:32:53.711916	none	random_0	baseline	lms	55	0.03636363636363636	0.011720970491339945	0.02307753154027157	
2021-07-05 23:32:53.712175	none	random_0	baseline	lms	60	0.04333333333333333	0.015806431669036662	0.02232074738694209	
2021-07-05 23:32:53.712443	none	random_0	baseline	lms	65	0.046153846153846156	0.017786629688838644	0.02175971019828638	
2021-07-05 23:32:53.712713	none	random_0	baseline	lms	70	0.04285714285714286	0.017786629688838644	0.02123524054239323	
2021-07-05 23:32:53.712972	none	random_0	baseline	lms	75	0.04	0.017786629688838644	0.020660557382154315	
2021-07-05 23:32:53.713239	none	random_0	baseline	lms	80	0.04	0.01989189284673338	0.020139118680448813	
2021-07-05 23:32:53.713589	none	random_0	baseline	lms	85	0.03764705882352941	0.01989189284673338	0.019598518923029794	
